,specialization,code
0,it,0
1,тестирование,1
2,исследования,2
3,аналитика,3
4,финансы,4
5,менеджмент,5
6,маркетинг,6
7,продажи,7
8,бизнес-аналитика,8
9,data science,9
10,разработка,10
11,аудит,11
12,hr,12
13,контент,13
14,дизайн,14
15,закупки,15
16,фармацевтика,16
17,аналитик,17
18,"программирование, разработка",18
19,web мастер,19
20,игровое по,20
21,"сотовые, беспроводные технологии",21
22,телекоммуникации,22
23,информационные технологии,23
24,системы управления предприятием (erp),24
25,управление маркетингом,25
26,"pr, маркетинговые коммуникации",26
27,интернет-маркетинг,27
28,оптимизация сайта (seo),28
29,web инженер,29
30,"телекоммуникации, сетевые решения",30
31,менеджер по работе с клиентами,31
32,"продажи по телефону, телемаркетинг",32
33,инженер,33
34,электронная коммерция,34
35,crm системы,35
36,верстальщик,36
37,дизайнер,37
38,системная интеграция,38
39,стартапы,39
40,"медицина, фармацевтика",40
41,производство,41
42,медицинское оборудование,42
43,управление проектами,43
44,"начальный уровень, мало опыта",44
45,интернет,45
46,услуги для бизнеса,46
47,компьютерная безопасность,47
48,"cto, cio, директор по it",48
49,развитие бизнеса,49
50,"поддержка, helpdesk",50
51,банковское по,51
52,технический писатель,52
53,инженерные науки,53
54,персональный ассистент,54
55,секретарь,55
56,административный персонал,56
57,сервисный инженер,57
58,компьютерная техника,58
59,компьютерные программы,59
60,системный администратор,60
61,рекрутмент,61
62,инсталляция и настройка оборудования,62
63,сетевые технологии,63
64,торговый маркетинг(trade marketing),64
65,арт-директор,65
66,"планирование, размещение рекламы",66
67,"продвижение, специальные мероприятия",67
68,услуги для населения,68
69,розничная торговля,69
70,"электроника, фото, видео",70
71,исследования рынка,71
72,монтажник,72
73,менеджер по сервису - сетевые и телекоммуникационные технологии,73
74,системы видеонаблюдения,74
75,пожарная безопасность,75
76,решения по автоматизации процессов,76
77,торговые сети,77
78,экономист,78
79,"консалтинг, аутсорсинг",79
80,автозапчасти,80
81,"автомобили, запчасти",81
82,машиностроение,82
83,автомобильная промышленность,83
84,конструктор,84
85,технолог,85
86,электроэнергетика,86
87,слесарь,87
88,"электромонтер, кабельщик",88
89,электрик,89
90,водитель,90
91,администратор баз данных,91
92,авиационная промышленность,92
93,"информационные технологии, интернет, мультимедиа",93
94,передача данных и доступ в интернет,94
95,финансовый мониторинг,95
96,внутренние операции (back office),96
97,"финансы, банки, инвестиции",97
98,металлургия,98
99,ввод данных,99
100,системы автоматизированного проектирования,100
101,сотрудник call-центра,101
102,прямые продажи,102
103,управление продажами,103
104,тренерский состав,104
105,"internet, e-commerce",105
106,"обменные пункты, банкоматы",106
107,пластиковые карты,107
108,риски: операционные,108
109,"электротехническое оборудование, светотехника",109
110,управление гостиницами,110
111,мультимедиа,111
112,экономическая и информационная безопасность,112
113,"информатика, информационные системы",113
114,реинжиниринг бизнес процессов,114
115,коммерческий банк,115
116,планово-экономическое управление,116
117,финансовый анализ,117
118,продюсер,118
119,сервисное обслуживание,119
120,продажа,120
121,ресепшен,121
122,радиоэлектронная промышленность,122
123,менеджмент продукта (product manager),123
124,врач-эксперт,124
125,"дизайн, графика, живопись",125
126,другое,126
127,математика,127
128,"маркетинг, реклама, pr",128
129,бренд-менеджмент,129
130,руководитель сервисного центра,130
131,"наука, образование",131
132,производство рекламы,132
133,языки,133
134,делопроизводство,134
135,учет заработной платы,135
136,копирайтер,136
137,преподавание,137
138,администрация,138
139,дилерские сети,139
140,управление персоналом,140
141,развитие персонала,141
142,издательская деятельность,142
143,тендеры,143
144,строительные материалы,144
145,логистика,145
146,консультирование,146
147,главный инженер,147
148,промоутер,148
149,дистрибуция,149
150,оптовая торговля,150
151,управление закупками,151
152,"станки, тяжелое оборудование",152
153,консультант,153
154,журналистика,154
155,последовательный перевод,155
156,письменный перевод,156
157,синхронный перевод,157
158,бюджетирование и планирование,158
159,нефтепереработка,159
160,нефть,160
161,газ,161
162,"экономика, менеджмент",162
163,"управление персоналом, тренинги",163
164,"литературная, редакторская деятельность",164
165,печатная реклама,165
166,метролог,166
167,acca,167
168,"мсфо, ifrs",168
169,финансовый менеджмент,169
170,финансовые услуги,170
171,продажа финансовых продуктов,171
172,строительство,172
173,менеджер по сервису - промышленное оборудование,173
174,системы безопасности,174
175,физика,175
176,"проектирование, архитектура",176
177,"методология, банковские технологии",177
178,мебель,178
179,фотография,179
180,складское хозяйство,180
181,продажа туристических услуг,181
182,ветеринария,182
183,сиделка,183
184,репетитор,184
185,компенсации и льготы,185
186,ассистент,186
187,телевидение,187
188,франчайзинг,188
189,pr consulting,189
190,"отопление, вентиляция и кондиционирование",190
191,управление цехом,191
192,"ипотека, ипотечное кредитование",192
193,управленческое консультирование,193
194,"разработка новых продуктов, маркетинг",194
195,"искусство, развлечения, масс-медиа",195
196,уборщица/уборщик,196
197,бухгалтер,197
198,казначейство,198
199,"производство, технологии",199
200,закупки и снабжение,200
201,ценные бумаги,201
202,отчетность,202
203,"текстиль, одежда, обувь",203
204,продавец в магазине,204
205,тренинги,205
206,организационное консультирование,206
207,стратегия,207
208,товары для бизнеса,208
209,сборщик,209
210,антимонопольное право,210
211,договорное право,211
212,налоговое право,212
213,корпоративное право,213
214,юрисконсульт,214
215,"реинжиниринг, аутсорсинг финансовой функции",215
216,"аудит, внутренний контроль",216
217,расчет себестоимости,217
218,управляющий офисом (оffice manager),218
219,электротехническое оборудование/светотехника,219
220,помощник,220
221,арт директор,221
